,,,,,Total Domestic Residual Waste Generation and Disposal (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kerbside Waste Bin,,,,Kerbside,,,Drop Off,,,,,,,Clean Up,,,,,,,Total Disposed to Landfill,,Total Waste,,,,
LGA Code,LGA Name,Region Type,Council Name,Regional Groups,Collected,Recycled,Disposed,,Recycling Bin Disposed,Organics Bin Disposed,,Recycling Disposed,Organics Disposed,,Waste Collected,Waste Recycled,Waste Disposed,,Recycling Disposed,Organics Disposed,,Waste Collected,Waste Recycled,Waste Disposed,,,,Collected,Recycled,Waste Disposed,Recycling  Disposed,Organics Disposed
12350,Cowra,A,NetWaste,Rest of NSW," 2,961 ",," 2,961 ",, 397 , -   ,, 0 , -   ,, 17 , -   , 17 ,, -   , -   ,, -   , -   , -   ,," 3,375 ",," 2,978 ", -   ," 2,978 ", 397 , -   
12380,Cumberland,A,WSROC,SMA," 66,188 "," 8,885 "," 57,303 ",," 1,102 ", -   ,, -   , -   ,, 115 , 115 , -   ,, -   , -   ,, -   , -   , -   ,," 58,405 ",," 66,303 "," 9,000 "," 57,303 "," 1,102 ", -   
12390,Dubbo Regional,A,NetWaste,Rest of NSW," 9,069 ",," 9,069 ",, 280 , -   ,, -   , -   ,," 5,120 ", 22 ," 5,098 ",, -   , -   ,, 483 , -   , 483 ,," 14,929 ",," 14,671 ", 22 ," 14,649 ", 280 , -   
12700,Dungog,A,Hunter,RRA," 2,457 ",," 2,457 ",, 93 , -   ,, -   , -   ,," 4,311 ", 8 ," 4,303 ",, -   , -   ,, 175 , -   , 175 ,," 7,028 ",," 6,943 ", 8 ," 6,935 ", 93 , -   
12730,Edward River,A,RAMJO Murray,Rest of NSW," 2,908 ",," 2,908 ",, -   , -   ,, 26 , 809 ,, 764 , -   , 764 ,, -   , -   ,, -   , -   , -   ,," 4,507 ",," 3,672 ", -   ," 3,672 ", 26 , 809 
12750,Eurobodalla,A,CRJO,Rest of NSW," 6,950 ",," 6,950 ",, 459 , 6 ,, -   , -   ,," 2,984 ", 84 ," 2,900 ",, -   , -   ,, 637 , -   , 637 ,," 10,952 ",," 10,571 ", 84 ," 10,487 ", 459 , 6 
12850,Fairfield,C,WSROC,SMA," 65,244 ",," 65,244 ",," 2,847 ", -   ,, -   , -   ,, 154 , 154 , -   ,, -   , -   ,," 10,495 ", -   ," 10,495 ",," 78,585 ",," 75,892 ", 154 ," 75,738 "," 2,847 ", -   
12870,Federation,A,RAMJO Murray,Rest of NSW," 2,650 ",," 2,650 ",, 80 , -   ,, -   , -   ,, 307 , 3 , 304 ,, -   , -   ,, -   , -   , -   ,," 3,034 ",," 2,957 ", 3 ," 2,954 ", 80 , -   
12900,Forbes,A,NetWaste,Rest of NSW," 1,205 ",," 1,205 ",, 34 , -   ,, -   ," 2,306 ",, 581 , 18 , 563 ,, -   , -   ,, 32 , -   , 32 ,," 4,140 ",," 1,818 ", 18 ," 1,800 ", 34 ," 2,306 "
12930,Georges River,A,SSROC,SMA," 31,801 ", -   ," 31,801 ",," 1,263 ", -   ,, -   , -   ,, 111 , -   , 111 ,, 21 , -   ,," 5,850 ", -   ," 5,850 ",," 39,047 ",," 37,763 ", -   ," 37,763 "," 1,284 ", -   
12950,Gilgandra,A,NetWaste,Rest of NSW, 826 ,, 826 ,, 1 , -   ,, -   , -   ,, 353 , 131 , 222 ,, -   , -   ,, -   , -   , -   ,," 1,049 ",," 1,179 ", 131 ," 1,048 ", 1 , -   
13010,Glen Innes Severn,A,NIRW,Rest of NSW," 1,549 ",," 1,549 ",, 19 , -   ,, -   , -   ,," 2,338 ", -   ," 2,338 ",, -   , -   ,, -   , -   , -   ,," 3,906 ",," 3,886 ", -   ," 3,886 ", 19 , -   
13310,Goulburn Mulwaree,A,CRJO,Rest of NSW," 4,595 ",," 4,595 ",, 778 , -   ,, -   , -   ,," 13,342 "," 7,331 "," 6,011 ",, -   , -   ,, 399 , 149 , 250 ,," 11,633 ",," 18,335 "," 7,480 "," 10,855 ", 778 , -   
13340,Greater Hume Shire,A,RAMJO Murray,Rest of NSW," 2,313 ",," 2,313 ",, 23 , -   ,, -   , -   ,, 500 , -   , 500 ,, -   , -   ,, -   , -   , -   ,," 2,836 ",," 2,813 ", -   ," 2,813 ", 23 , -   
13450,Griffith,C,RAMJO Riverina,Rest of NSW," 7,965 ",," 7,965 ",, 43 , -   ,, -   , -   ,, 541 , -   , 541 ,, -   , -   ,, -   , -   , -   ,," 8,549 ",," 8,506 ", -   ," 8,506 ", 43 , -   
13550,Gunnedah,A,NIRW,Rest of NSW," 2,404 ",," 2,404 ",, 131 , 111 ,, -   , 10 ,," 2,169 ", 18 ," 2,151 ",, -   , -   ,, -   , -   , -   ,," 4,806 ",," 4,573 ", 18 ," 4,555 ", 131 , 121 
13660,Gwydir,A,NIRW,Rest of NSW, 363 ,, 363 ,, 21 , -   ,, 18 , 4 ,, 435 , 5 , 430 ,, -   , -   ,, -   , -   , -   ,, 835 ,, 798 , 5 , 793 , 39 , 4 
13800,Hawkesbury,C,WSROC,ERA," 19,224 ",," 19,224 ",, 506 , -   ,, -   , -   ,," 1,126 ", 27 ," 1,099 ",, -   , -   ,, -   , -   , -   ,," 20,829 ",," 20,350 ", 27 ," 20,323 ", 506 , -   
13850,Hay,A,RAMJO Riverina,Rest of NSW," 1,122 ",," 1,122 ",, -   , -   ,, -   , -   ,, 481 , 0 , 481 ,, -   , -   ,, -   , -   , -   ,," 1,603 ",," 1,603 ", 0 ," 1,603 ", -   , -   
13910,Hilltops,A,CRJO,Rest of NSW," 2,635 ",," 2,635 ",, 303 , -   ,, -   , -   ,, -   , -   , -   ,, -   , -   ,, -   , -   , -   ,," 2,938 ",," 2,635 ", -   ," 2,635 ", 303 , -   
14000,Hornsby,A,NSROC,SMA," 30,492 ",," 30,492 ",, 908 , -   ,, -   , -   ,, 186 , 186 , -   ,, -   , -   ,," 5,482 ", -   ," 5,482 ",," 36,882 ",," 36,160 ", 186 ," 35,974 ", 908 , -   
14100,Hunters Hill,A,NSROC,SMA," 3,637 ", -   ," 3,637 ",, 38 , -   ,, -   , -   ,, -   , -   , -   ,, -   , -   ,, 253 , 253 , -   ,," 3,675 ",," 3,890 ", 253 ," 3,637 ", 38 , -   
14170,Inner West,A,SSROC,SMA," 35,410 "," 4,718 "," 30,692 ",," 1,072 ", -   ,, -   , -   ,, 195 , 78 , 117 ,, 32 , -   ,," 3,473 ", 868 ," 2,605 ",," 34,517 ",," 39,078 "," 5,665 "," 33,414 "," 1,104 ", -   
14200,Inverell,A,NIRW,Rest of NSW," 4,556 ",," 4,556 ",, 280 , -   ,, 10 , -   ,," 1,781 ", 1 ," 1,780 ",, -   , -   ,, -   , -   , -   ,," 6,626 ",," 6,337 ", 1 ," 6,336 ", 290 , -   
14300,Junee,A,REROC,Rest of NSW, 920 ,, 920 ,, 16 , -   ,, 120 , -   ,, 740 , 4 , 736 ,, -   , -   ,, -   , -   , -   ,," 1,792 ",," 1,660 ", 4 ," 1,656 ", 136 , -   
14350,Kempsey,A,MidWaste,RRA," 4,960 ",," 4,960 ",, 194 , -   ,, 19 , 4 ,," 2,645 ", 225 ," 2,420 ",, -   , -   ,, -   , -   , -   ,," 7,597 ",," 7,605 ", 225 ," 7,380 ", 213 , 4 
14400,Kiama,A,ISJO,ERA," 2,767 ",," 2,767 ",, 109 , -   ,, -   , -   ,, 141 , 74 , 67 ,, -   , -   ,, 205 , -   , 205 ,," 3,148 ",," 3,113 ", 74 ," 3,039 ", 109 , -   
14500,Ku-ring-gai,A,NSROC,SMA," 22,800 ",," 22,800 ",, 455 , -   ,, -   , -   ,, 50 , 50 , -   ,, -   , -   ,," 3,456 ", 1 ," 3,455 ",," 26,710 ",," 26,306 ", 51 ," 26,255 ", 455 , -   
14550,Kyogle,A,NEWF,RRA, 930 ,, 930 ,, 15 , -   ,, -   , -   ,," 1,786 ", 23 ," 1,763 ",, -   , -   ,, -   , -   , -   ,," 2,707 ",," 2,716 ", 23 ," 2,693 ", 15 , -   
14600,Lachlan,A,NetWaste,Rest of NSW," 1,174 ",," 1,174 ",, 15 , -   ,, -   , -   ,," 2,250 ", -   ," 2,250 ",, -   , -   ,, -   , -   , -   ,," 3,439 ",," 3,424 ", -   ," 3,424 ", 15 , -   
14650,Lake Macquarie,C,Hunter,ERA," 33,976 ",," 33,976 ",," 1,066 ", -   ,, -   , -   ,," 3,825 ", 182 ," 3,643 ",, -   , -   ,," 10,593 ", -   ," 10,593 ",," 49,278 ",," 48,394 ", 182 ," 48,212 "," 1,066 ", -   
14700,Lane Cove,A,NSROC,SMA," 6,610 ", -   ," 6,610 ",, 114 , -   ,, -   , -   ,, -   , -   , -   ,, -   , -   ,," 1,011 "," 1,011 ", -   ,," 6,724 ",," 7,621 "," 1,011 "," 6,610 ", 114 , -   
14750,Leeton,A,RAMJO Riverina,Rest of NSW," 2,945 ",," 2,945 ",, 22 , -   ,, -   , -   ,," 2,495 ", 196 ," 2,298 ",, -   , -   ,, -   , -   , -   ,," 5,265 ",," 5,439 ", 196 ," 5,243 ", 22 , -   
14850,Lismore,C,NEWF,RRA," 5,575 ",," 5,575 ",, 71 , -   ,, -   , -   ,," 5,701 "," 2,095 "," 3,606 ",, -   , -   ,, -   , -   , -   ,," 9,252 ",," 11,276 "," 2,095 "," 9,181 ", 71 , -   
14870,Lithgow,C,NetWaste,Rest of NSW," 5,530 ",," 5,530 ",, 139 , -   ,, -   , 199 ,," 1,940 ", 23 ," 1,917 ",, -   , 6 ,, 45 , -   , 45 ,," 7,836 ",," 7,515 ", 23 ," 7,492 ", 139 , 205 
14900,Liverpool,C,WSROC,SMA," 51,793 ",," 51,793 ",," 1,004 ", 502 ,, -   , -   ,, 400 , 400 , -   ,, -   , -   ,," 4,418 "," 4,418 ", -   ,," 53,299 ",," 56,611 "," 4,817 "," 51,793 "," 1,004 ", 502 
14920,Liverpool Plains,A,NIRW,Rest of NSW," 1,393 ",," 1,393 ",, 17 , -   ,, -   , -   ,, 500 , -   , 500 ,, -   , -   ,, -   , -   , -   ,," 1,910 ",," 1,893 ", -   ," 1,893 ", 17 , -   
14950,Lockhart,A,REROC,Rest of NSW," 1,000 ",," 1,000 ",, 20 , -   ,, -   , 65 ,, -   , -   , -   ,, -   , -   ,, 50 , -   , 50 ,," 1,135 ",," 1,050 ", -   ," 1,050 ", 20 , 65 
15050,Maitland,C,Hunter,ERA," 22,923 ",," 22,923 ",, 188 , 20 ,, -   , -   ,," 4,480 ", 85 ," 4,395 ",, -   , -   ,, 4 , -   , 4 ,," 27,531 ",," 27,407 ", 85 ," 27,322 ", 188 , 20 
15240,Mid-Coast,A,MidWaste,RRA," 20,650 ",," 20,650 ",, 629 , -   ,, -   , -   ,," 6,665 ", -   ," 6,665 ",, -   , -   ,, -   , -   , -   ,," 27,945 ",," 27,316 ", -   ," 27,316 ", 629 , -   
15270,Mid-Western Regional,A,NetWaste,Rest of NSW," 3,580 ",," 3,580 ",, 179 , -   ,, -   , -   ,," 9,015 "," 2,336 "," 6,680 ",, -   , -   ,, -   , -   , -   ,," 10,439 ",," 12,596 "," 2,336 "," 10,260 ", 179 , -   
15300,Moree Plains,A,NIRW,Rest of NSW," 2,204 ",," 2,204 ",, 32 , -   ,, -   , -   ,," 1,248 ", -   ," 1,248 ",, -   , -   ,, 80 , -   , 80 ,," 3,563 ",," 3,531 ", -   ," 3,531 ", 32 , -   
15350,Mosman,A,NSROC,SMA," 6,405 ",," 6,405 ",, 105 , -   ,, -   , -   ,, -   , -   , -   ,, -   , -   ,, 624 , 62 , 562 ,," 7,072 ",," 7,030 ", 62 ," 6,967 ", 105 , -   
15520,Murray River,A,RAMJO Murray,Rest of NSW," 1,720 ",," 1,720 ",, 32 , -   ,, -   , -   ,, 479 , -   , 479 ,, -   , -   ,, -   , -   , -   ,," 2,231 ",," 2,199 ", -   ," 2,199 ", 32 , -   
15560,Murrumbidgee,A,RAMJO Riverina,Rest of NSW, 530 ,, 530 ,, 6 , -   ,, -   , -   ,, -   , -   , -   ,, -   , -   ,, 20 , -   , 20 ,, 556 ,, 550 , -   , 550 , 6 , -   
15650,Muswellbrook,A,Hunter,RRA," 3,307 ",," 3,307 ",, 111 , 27 ,, -   , -   ,, 865 , 19 , 847 ,, -   , -   ,, 425 , -   , 425 ,," 4,716 ",," 4,597 ", 19 ," 4,578 ", 111 , 27 
15700,Nambucca,A,MidWaste,RRA," 3,136 "," 1,881 "," 1,254 ",, 80 , -   ,, -   , -   ,, -   , -   , -   ,, -   , -   ,, 429 , 429 , -   ,," 1,334 ",," 3,565 "," 2,311 "," 1,254 ", 80 , -   
