,,,,,Total Domestic Recyclable Generation (tonnes),,,,,,,,,,,,,,,,,,
,,,,,Kerbside Recycling Bin,,,,CDS Recycling,,,,Drop off Recycling,,,,Cleanup Recycling,,,,Total Recycling,,
LGA Code,LGA Name,Region Type,Council Name,Regional Groups,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed
13340,Greater Hume Shire,A,RAMJO Murray,Rest of NSW, 542 , 519 , 23 ,, 81 , 81 ,,, -   , -   , -   ,, -   , -   , -   ,, 623 , 600 , 23 
13450,Griffith,C,RAMJO Riverina,Rest of NSW," 1,033 ", 990 , 43 ,, 700 , 700 ,,, 167 , 167 , -   ,, -   , -   , -   ,," 1,900 "," 1,857 ", 43 
13510,Gundagai - Cootamundra,A,REROC,Rest of NSW, 756 , 724 , 31 ,, 209 , 209 ,,, 968 , 198 , 770 ,, -   , -   , -   ,," 1,933 "," 1,132 ", 801 
13550,Gunnedah,A,NIRW,Rest of NSW," 1,269 "," 1,004 ", 266 ,, 412 , 412 ,,," 1,424 "," 1,424 ", -   ,, -   , -   , -   ,," 3,105 "," 2,840 ", 266 
13660,Gwydir,A,NIRW,Rest of NSW, 213 , 154 , 58 ,, 113 , 113 ,,, 356 , 356 , -   ,, -   , -   , -   ,, 681 , 623 , 58 
13800,Hawkesbury,C,WSROC,ERA," 5,231 "," 4,708 ", 523 ,," 1,392 "," 1,392 ",,," 1,178 "," 1,178 ", -   ,, 29 , 29 , -   ,," 7,829 "," 7,306 ", 523 
13850,Hay,A,RAMJO Riverina,Rest of NSW, -   , -   , -   ,, 1 , 1 ,,, 16 , 8 , 8 ,, 95 , 93 , 2 ,, 112 , 102 , 10 
13910,Hilltops,A,CRJO,Rest of NSW, 873 , 570 , 303 ,, 468 , 468 ,,, -   , -   , -   ,, -   , -   , -   ,," 1,341 "," 1,038 ", 303 
14000,Hornsby,A,NSROC,SMA," 11,294 "," 10,503 ", 791 ,, 619 , 619 ,,, 384 , 384 , -   ,, 924 , 924 , -   ,," 13,221 "," 12,430 ", 791 
14100,Hunters Hill,A,NSROC,SMA," 1,212 "," 1,175 ", 37 ,, -   , -   ,,, -   , -   , -   ,, 194 , 194 , -   ,," 1,406 "," 1,370 ", 37 
14170,Inner West,A,SSROC,SMA," 13,945 "," 13,326 ", 619 ,," 2,356 "," 2,356 ",,, 409 , 409 , -   ,, 712 , 675 , 36 ,," 17,422 "," 16,767 ", 656 
14200,Inverell,A,NIRW,Rest of NSW, 878 , 596 , 282 ,, 440 , 440 ,,," 1,258 "," 1,245 ", 12 ,, 11 , 11 , -   ,," 2,586 "," 2,292 ", 294 
14300,Junee,A,REROC,Rest of NSW, 685 , 657 , 29 ,, 50 , 50 ,,, 682 , 682 , -   ,, -   , -   , -   ,," 1,417 "," 1,388 ", 29 
14350,Kempsey,A,MidWaste,RRA," 2,248 "," 2,024 ", 224 ,, 842 , 842 ,,," 1,349 "," 1,344 ", 5 ,, -   , -   , -   ,," 4,439 "," 4,211 ", 229 
14400,Kiama,A,ISJO,ERA," 2,492 "," 2,383 ", 109 ,, 322 , 322 ,,, 237 , 237 , -   ,, 100 , 100 , -   ,," 3,151 "," 3,043 ", 109 
14500,Ku-ring-gai,A,NSROC,SMA," 10,953 "," 10,503 ", 450 ,, 107 , 107 ,,, -   , -   , -   ,, 105 , 105 , -   ,," 11,166 "," 10,715 ", 450 
14550,Kyogle,A,NEWF,RRA, 378 , 362 , 16 ,, 171 , 171 ,,, 858 , 858 , -   ,, -   , -   , -   ,," 1,407 "," 1,392 ", 16 
14600,Lachlan,A,NetWaste,Rest of NSW, 190 , 171 , 19 ,, 50 , 50 ,,," 1,042 ", 940 , 102 ,, -   , -   , -   ,," 1,282 "," 1,161 ", 121 
14650,Lake Macquarie,C,Hunter,ERA," 18,064 "," 17,216 ", 848 ,," 3,569 "," 3,569 ",,, 347 , 347 , -   ,, 235 , 235 , -   ,," 22,216 "," 21,368 ", 848 
14700,Lane Cove,A,NSROC,SMA," 2,861 "," 2,578 ", 283 ,, 0 , 0 ,,, -   , -   , -   ,, 40 , 36 , 4 ,," 2,902 "," 2,615 ", 287 
14750,Leeton,A,RAMJO Riverina,Rest of NSW, 464 , 443 , 22 ,, 372 , 372 ,,, 213 , 213 , -   ,, -   , -   , -   ,," 1,050 "," 1,028 ", 22 
14850,Lismore,C,NEWF,RRA," 3,150 "," 3,074 ", 76 ,," 1,335 "," 1,335 ",,," 3,593 "," 3,593 ", -   ,, -   , -   , -   ,," 8,078 "," 8,002 ", 76 
14870,Lithgow,C,NetWaste,Rest of NSW," 1,216 "," 1,009 ", 207 ,, 351 , 351 ,,, 699 , 699 , -   ,, -   , -   , -   ,," 2,266 "," 2,059 ", 207 
14900,Liverpool,C,WSROC,SMA," 14,991 "," 13,942 "," 1,049 ",," 2,693 "," 2,693 ",,, 167 , 167 , -   ,, 731 , 731 , -   ,," 18,582 "," 17,533 "," 1,049 "
14920,Liverpool Plains,A,NIRW,Rest of NSW, 560 , 410 , 150 ,, 150 , 150 ,,, -   , -   , -   ,, -   , -   , -   ,, 710 , 560 , 150 
14950,Lockhart,A,REROC,Rest of NSW, 154 , 148 , 6 ,, -   , -   ,,, -   , -   , -   ,, 59 , 59 , -   ,, 213 , 206 , 6 
15050,Maitland,C,Hunter,ERA," 5,850 "," 5,680 ", 170 ,," 1,308 "," 1,308 ",,," 2,001 "," 2,001 ", -   ,, -   , -   , -   ,," 9,159 "," 8,989 ", 170 
15240,Mid-Coast,A,MidWaste,RRA," 9,288 "," 6,507 "," 2,781 ",," 2,304 "," 2,304 ",,," 5,118 "," 5,118 ", -   ,, 750 , 750 , -   ,," 17,460 "," 14,679 "," 2,781 "
15270,Mid-Western Regional,A,NetWaste,Rest of NSW," 1,372 "," 1,175 ", 197 ,, 443 , 443 ,,, 329 , 329 , -   ,, -   , -   , -   ,," 2,145 "," 1,948 ", 197 
15300,Moree Plains,A,NIRW,Rest of NSW, 686 , 658 , 29 ,, 506 , 506 ,,, -   , -   , -   ,, 37 , 37 , -   ,," 1,230 "," 1,202 ", 29 
15350,Mosman,A,NSROC,SMA," 2,420 "," 2,330 ", 90 ,, 142 , 142 ,,, 34 , 34 , -   ,, 20 , 15 , 5 ,," 2,616 "," 2,521 ", 95 
15520,Murray River,A,RAMJO Murray,Rest of NSW," 1,500 "," 1,438 ", 62 ,, 698 , 698 ,,, 856 , 744 , 112 ,, -   , -   , -   ,," 3,054 "," 2,880 ", 174 
15560,Murrumbidgee,A,RAMJO Riverina,Rest of NSW, 423 , 405 , 18 ,, 270 , 270 ,,, -   , -   , -   ,, -   , -   , -   ,, 693 , 675 , 18 
15650,Muswellbrook,A,Hunter,RRA, 999 , 920 , 79 ,, 225 , 225 ,,, 489 , 489 , -   ,, 171 , 171 , -   ,," 1,884 "," 1,805 ", 79 
15700,Nambucca,A,MidWaste,RRA," 1,644 "," 1,562 ", 82 ,, 545 , 545 ,,, 928 , 928 , -   ,, -   , -   , -   ,," 3,117 "," 3,035 ", 82 
15750,Narrabri,A,NIRW,Rest of NSW, 457 , 300 , 157 ,, 374 , 374 ,,, -   , -   , -   ,, -   , -   , -   ,, 831 , 674 , 157 
15800,Narrandera,A,RAMJO Riverina,Rest of NSW, 600 , 540 , 60 ,, 1 , 1 ,,, -   , -   , -   ,, -   , -   , -   ,, 601 , 541 , 60 
15850,Narromine,A,NetWaste,Rest of NSW, 420 , 403 , 17 ,, 26 , 26 ,,, -   , -   , -   ,, -   , -   , -   ,, 446 , 428 , 17 
15900,Newcastle,C,Hunter,ERA," 13,892 "," 12,755 "," 1,137 ",," 2,966 "," 2,966 ",,, 706 , 706 , -   ,, -   , -   , -   ,," 17,565 "," 16,428 "," 1,137 "
