LGA Code,LGA Name,Region Type,Council Name,Regional Groups,,,Population,Households Surveyed,Average Domestic Waste Management Cost (DWMC) $,Households with Residual Waste Service,Households with Recycling Service,Households with Garden Organics Service,Households with Food and Garden Organics Service,Clean Up Service occurences ,Drop Off Service access,,Drop Off Facility 1,Drop Off Facility 2,Drop Off Facility 3,Drop Off Facility 4,Drop Off Facility 5,Drop Off Facility 6,
16490,Queanbeyan-Palerang Regional,A,CRJO,Rest of NSW,,,59959,26003,319,19673,20206,13563,2152,0,Yes,,Waste Minimisation Centre,Bungendore Waste Transfer Station,Macs Reef Waste Transfer Station,Braidwood Waste Transfer Station,Captains Flat Waste Transfer Station,Nerriga Landfill,
16550,Randwick,C,SSROC,SMA,,,154265,58238,567.85,58238,58238,41617,0,0,Yes,,Randwick Recycling Centre,,,,,,
16610,Richmond Valley,A,NEWF,RRA,,,23399,10660,564,7541,7533,0,7541,729,Yes,,Nammoona Waste and Resource Recovery Facility,Evans Head Transfer Station,Bora Ridge Transfer Station,Rappville Transfer Station,,,
16700,Ryde,C,NSROC,SMA,,,127446,51202,432,33233,34740,27966,0,0,Yes,,Mobile Recycle Unit,,,,,,
16900,Shellharbour,C,ISJO,ERA,,,72240,29030,420,26740,26740,0,26740,62743,Yes,,Dunmore Waste and Recycling Facility,,,,,,
16950,Shoalhaven,C,ISJO,ERA,,,104371,56313,343,52602,52996,0,0,0,Yes,,West Nowra Recycling and Waste Facility,Ulladulla Recycling and Waste Transfer Facility,Huskisson Recycling and Waste Transfer Facility,Berry Recycling and Waste Transfer Facility,Callala Recycling and Waste Transfer Facility,Sussex Inlet Recycling and Waste Transfer Facility,
17000,Singleton,A,Hunter,RRA,,,23422,11150,440,8263,8381,6451,0,6990,Yes,,Singleton Waste Management Facility,,,,,,
17040,Snowy Monaro Regional,A,CRJO,Rest of NSW,,,20733,15729,491,8062,7672,0,2741,0,Yes,,Bombala Waste Depot,Delegate Waste Depot,Cathcart Transfer Station,Jindabyne Regional Waste Management Facility,Adaminaby Transfer Station,Berridale Transfer Station,
17080,Snowy Valleys,A,REROC,Rest of NSW,,,14532,6499,377,5790,5708,0,0,123243,No,,Tumut,Adelong,Talbingo,,,,
17100,Strathfield,A,,SMA,,,45143,15984,740,9087,7777,4000,0,0,Yes,,,,,,,,
17150,Sutherland Shire,A,SSROC,SMA,,,229213,97365,456.3,86071,86071,86071,0,3722,Yes,,,,,,,,
17200,Sydney,C,SSROC,SMA,,,240229,126927,436,113504,111807,8717,0,34749,Yes,,,,,,,,
17310,Tamworth Regional,A,NIRW,Rest of NSW,,,62156,27777,306,24256,24256,24256,0,0,No,,Forest Road Waste Management Facility,Barraba Landfill,Duri Landfill,Manilla Landfill,Nundle Landfill,Kootingal Small Vehicle Transfer Stations,
17350,Temora,A,REROC,Rest of NSW,,,6274,3782,227.8,2335,0,0,0,0,No,,Teal St Landfill,Lions Club Recycling Depot,,,,,
17400,Tenterfield,A,NIRW,Rest of NSW,,,6638,3600,356,1979,1740,0,0,0,Yes,,Tenterfield Waste Transfer Station,Drake Waste Transfer Station,Urbenville Waste Transfer Station,Liston Waste Transfer Station,Legume Waste Transfer Station,,
17420,The Hills Shire,A,WSROC,SMA,,,172473,63053,465,52043,54438,44484,0,0,No,,SUEZ Seven Hills,,,,,,
17550,Tweed,A,NEWF,RRA,,,96108,42285,366.9,38399,38516,0,25951,13284,No,,Stotts Creek Resource Recovery Centre,,,,,,
17620,Upper Hunter Shire,A,Hunter,RRA,,,14220,7869,564.3,4909,4540,0,0,0,No,,Scone Waste Management Facility,Aberdeen Waste Management Facility,Murrurundi Waste Management Facility,Merriwa Waste Management Facility,,,
17640,Upper Lachlan Shire,A,CRJO,Rest of NSW,,,7961,6500,443,2016,2016,1800,0,7047,Yes,,Crookwell Landfill,Gunning Waste Depot,Taralga Transfer Station,Collector Transfer Station,Bigga Landfill,Tuena Landfill,
17650,Uralla,A,NIRW,Rest of NSW,,,6062,3160,342,1531,1525,1350,0,32405,Yes,,,,,,,,
17750,Wagga Wagga,C,REROC,Rest of NSW,,,64820,24967,345,24967,24967,0,24967,53880,Yes,,Gregadoo Waste Management Centre,Transfer Stations,,,,,
17850,Walcha,A,NIRW,Rest of NSW,,,3132,1796,501,808,809,807,0,37057,Yes,,Walcha Waste Depot,Woolbrook Landfill,Nowendoc Landfill,,,,
17900,Walgett,A,NetWaste,Rest of NSW,,,6051,4868,485,1533,0,0,0,126833,No,,Walgett Waste Facility,Lightning Ridge Waste Facility,Collarenebri Waste Facility,Carinda Waste Facility,Rowena Waste Facility,Other,
17950,Warren,A,NetWaste,Rest of NSW,,,2745,2053,278,950,0,0,0,950,Yes,,Ewenmar Waste Facility,,,,,,
18020,Warrumbungle Shire,A,NetWaste,Rest of NSW,,,9399,6080,345,3036,3036,0,0,130370,Yes,,Coonabarabran,Baradine,Binnaway,Ulamambri,Coolah,Dunedoo,
18050,Waverley,A,SSROC,SMA,,,74114,29408,548,29399,29399,10040,0,1417,Yes,,,,,,,,
18100,Weddin,A,NetWaste,Rest of NSW,,,3636,2623,292,1144,1144,0,0,0,Yes,,Grenfell Waste Faciltity,Quandialla Landfill,Caragabal Landfill,,,,
18200,Wentworth,A,RAMJO Murray,Rest of NSW,,,7042,3857,225,2880,0,0,0,24881,No,,Wentworth Transfer Station,Dareton Transfer station,Ellerslie landfill,Pomona Landfill,Pooncarie Landfill,Buronga Landfill,
18230,Dubbo Regional,A,NetWaste,Rest of NSW,,,53240,19736,378,19132,19132,0,15478,0,Yes,,Transfer Stations Dubbo,Wellington Waste Disposal Depot,Whylandra Waste Disposal Depot,Wellington transfer stations,,,
18250,Willoughby,C,NSROC,SMA,,,80339,27376,530,27376,27376,16217,0,7143,No,,,,,,,,
18350,Wingecarribee,A,ISJO,ERA,,,50493,20657,422,19100,19100,18563,0,2047,Yes,,Resource Recovery Centre,,,,,,
18400,Wollondilly,A,MACROC,RRA,,,52230,19541,541,16485,17857,12709,0,0,Yes,,Bargo Waste Management Centre,,,,,,
18450,Wollongong,C,ISJO,ERA,,,216071,85000,411,84141,84748,84748,0,0,No,,Whytes Gully Community Dropoff,,,,,,
18500,Woollahra,A,SSROC,SMA,,,58964,26648,523.05,24939,24939,0,24939,68029,No,,,,,,,,
18710,Yass Valley,A,CRJO,Rest of NSW,,,16953,7321,397,4100,4100,0,0,3725,Yes,,Yass Transfer Station,Gundaroo Transfer Station,Murrumbateman Transfer Station,,,,
